id,butterfly_taxon,host,family,beccaloni_marker,checkability,checkability_why,biology_note,source_refs,why_needs_check
assoc_0012,Callithomia alexirrhoe,Solanum,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]","Ithomiine on Solanum is taxonomically core, but Beccaloni flags this row dubious; Lamas-only catalogue trail, keep needs_check."
assoc_0017,Callithomia lenea,Solanum,Solanaceae,●,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]","Solanum is a typical Ithomiine host; plausible Beccaloni row citing Lamas 1985, catalogue-level literature not independently re-verified."
assoc_0022,Ceratinia neso,Solanum,Solanaceae,●,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]","Ceratinia on Solanum is a standard Ithomiine pairing; plausible Beccaloni/Lamas catalogue record, treated as literature."
assoc_0037,Dircenna dero,Brunfelsia australis,Solanaceae,○,medium,catalogue-embedded primary,,"Uruguay: [Biezanko et al., 1974b]","Dircenna on Brunfelsia (Solanaceae) is taxonomically plausible, but Beccaloni flags as dubious; Biezanko et al. 1974b old Uruguay record. Keep needs_check."
assoc_0038,Dircenna dero,Brunfelsia pauciflora,Solanaceae,○,medium,catalogue-embedded primary,,"Uruguay: [Biezanko et al., 1957]",Plausible Solanaceae pairing but catalogue marks dubious; Biezanko et al. 1957 old Uruguay record. Lower the inflated 'medium' confidence; treat as needs_check.
assoc_0039,Dircenna dero,Brunfelsia uniflora,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Brazil: [Silva et al., 1968]","Dircenna on Brunfelsia plausible taxonomically, but Silva et al. 1968 record is catalogue-dubious; keep needs_check, low confidence."
assoc_0065,Dircenna loreta,Solanum,Solanaceae,●,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]","Dircenna are Solanaceae feeders; Solanum host is expected, plausible catalogue record citing Lamas 1985."
assoc_0141,Episcada clausina,Solanum,Solanaceae,●,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985 (ssp. polita)]","Episcada use Solanaceae (and some Apocynaceae); Solanum plausible, Lamas 1985 (ssp. polita) catalogue record, literature-level."
assoc_0149,Episcada hymenaea,Brunfelsia australis,Solanaceae,○,medium,catalogue-embedded primary,,"Uruguay?: [Hayward, 1969]","Episcada/Solanaceae-Brunfelsia is taxonomically plausible, but Beccaloni flags row dubious with 'Uruguay?' and 'Brunfelsia australis?'; Hayward cited only via c"
assoc_0150,Episcada hymenaea,Brunfelsia pauciflora,Solanaceae,○,medium,catalogue-embedded primary,,"Uruguay: [Biezanko et al., 1957]","Episcada (Ithomiini) on Brunfelsia is plausible, but record is Biezanko 1957 catalogue-dubious; record's 'high' confidence and Drummond&Brown note are mismatche"
assoc_0151,Episcada hymenaea,Brunfelsia uniflora,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Brazil: [Silva et al., 1968]",Plausible Solanaceae pairing but Silva et al. 1968 catalogue-dubious; record 'high' confidence and D&B note do not match cited source. Downgrade to needs_check/
assoc_0165,Episcada hymenaea,Solanum sisymbriifolium,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Brazil: [RS, Drummond & Brown, 1987 (ssp. hymenaea)]","Episcada on Solanum is plausible, but Beccaloni flags this row dubious; keep needs_check pending an independent direct source despite D&B citation."
assoc_0169,Episcada salvinia,Solanum,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Colombia: [Drummond & Brown, 1987]","Episcada on Solanum is plausible, but Beccaloni flags row dubious; keep needs_check/exploratory pending primary verification."
assoc_0177,Epityches eupompe,Brunfelsia australis,Solanaceae,○,medium,catalogue-embedded primary,,"Argentina: [Hayward, 1969]; Uruguay: [Biezanko et al., 1974b]","Epityches on Brunfelsia/Solanaceae is plausible; flagged dubious by Beccaloni but corroborated by two sources (Hayward 1969, Biezanko et al. 1974b). Catalogue-l"
assoc_0186,Eutresis hypereia,Schultesianthus megalandrus,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Venezuela: [Drummond & Brown, 1987] (ssp. hypereia)","Schultesianthus is Solanaceae (plausible for basal Ithomiini Eutresis), but Beccaloni flags row dubious; keep needs_check pending primary verification."
