id,butterfly_taxon,host,publication,taxonomic_plausibility,supports_association,recommended_evidence_level,final_evidence_level,final_confidence,flags,adversarial_agree,justification
assoc_0006,Aeria eurimedia,Prestonia nr portobellensis (Apocynaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,supports,literature,literature,medium,embedded-primary-pers-comm; oviposition-record; host-name-imprecise-nr,True,"Aeria is a known Apocynaceae-feeding ithomiine genus; Prestonia plausible. Embedded Haber oviposition + Muyshondt p.c., but catalogue-level and host ID is 'nr' so genus-only certainty."
assoc_0021,Ceratinia neso,Solanum sp. (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,supports,literature,literature,medium,embedded-primary-pers-comm; host-genus-only,True,Ceratinia is a Solanaceae feeder; Solanum plausible. Embedded Freitas p.c. (Brazil) supports it at catalogue level; host only to genus.
assoc_0026,Ceratinia tutia,Solanum sp. (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,supports,literature,literature,medium,embedded-primary-pers-comm; host-genus-only,True,"Ceratinia tutia on Solanum is taxonomically typical for Ithomiini. Freitas p.c. catalogue record; genus-level host only, so medium confidence."
assoc_0853,Ceratinia tutia,Solanum aphyodendron (=S. nudum) (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,supports,direct,direct,high,primary-source-muriel-2011; reared-immatures; doi-url-mismatch,True,"Cites Muriel et al. 2011 (field-collected immatures reared, Colombia, Table 3) = direct rearing; Solanum typical for Ceratinia. doi_or_url wrongly points to Beccaloni but citation is a real primary."
assoc_0037,Dircenna dero,Brunfelsia australis (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,needs_check,needs_check,low,beccaloni-dubious-marker; old-record-biezanko; uruguay-edge-of-range,True,"Dircenna on Brunfelsia (Solanaceae) is taxonomically plausible, but Beccaloni flags as dubious; Biezanko et al. 1974b old Uruguay record. Keep needs_check."
assoc_0038,Dircenna dero,Brunfelsia pauciflora (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,needs_check,needs_check,low,beccaloni-dubious-marker; old-record-biezanko; duplicate-key,True,Plausible Solanaceae pairing but catalogue marks dubious; Biezanko et al. 1957 old Uruguay record. Lower the inflated 'medium' confidence; treat as needs_check.
assoc_0039,Dircenna dero,Brunfelsia uniflora (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,needs_check,needs_check,low,beccaloni-dubious-marker; old-record-silva-1968; duplicate-key,True,"Dircenna on Brunfelsia plausible taxonomically, but Silva et al. 1968 record is catalogue-dubious; keep needs_check, low confidence."
assoc_0091,Dryas iulia,Passiflora capsularis (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,needs_check,literature,medium,,True,"Dryas iulia is a HELICONIINE, not Ithomiini; Passiflora is its correct host (biologically plausible) but out-of-scope and Beccaloni flags dubious (Benson et al. 1976)."
assoc_0117,Dryas iulia,Passiflora quadrangularis (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,needs_check,literature,medium,,True,"Heliconiine Dryas iulia on Passiflora is biologically correct but non-Ithomiini and catalogue-dubious (Benson et al. 1976, S Brazil); flag Passifloraceae and keep needs_check."
assoc_0150,Episcada hymenaea,Brunfelsia pauciflora (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,needs_check,needs_check,low,beccaloni-dubious-marker; old-record-biezanko; notes-source-mismatch; confidence-inflated-in-record,True,"Episcada (Ithomiini) on Brunfelsia is plausible, but record is Biezanko 1957 catalogue-dubious; record's 'high' confidence and Drummond&Brown note are mismatched with actual source. Downgrade."
